Nombre,Dirección,Cantidad de jugadores
Club Social Y Deportivo Pintita,"2005, Mariano Acosta, Flores, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, C1407, Argentina",11
Canchas UTN,"2300, Mozart, Villa Lugano, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, C1407IVT, Argentina",11
