Fecha,Torneo,Comienzo,Finalización,Equipo,Rival,Estadio,Goles Convertidos,Goles Recibidos,Resultado,Conclusión,Apariciones,DT,Comentarios,Foto,,,,,,,,,,,,,
14/12/2024,Torneo Mundialito,8:00,9:30,Ministros,Trabajo y Prev,Club Social Y Deportivo Pintita,0,3,0-3,P,FALSE,,No presentamos,,,,,,,,,,,,,,
15/03/2025,Amistoso,10:00,11:30,Ministros,Estrella Roja,Club Social Y Deportivo Pintita,1,2,1-2,P,TRUE,,,,,,,,,,,,,,,,
22/03/2025,Amistoso,11:30,13:00,Ministros,Jardin F.C.,Club Social Y Deportivo Pintita,3,2,3-2,G,TRUE,Gonzalo Beguelman,,,,,,,,,,,,,,,
29/03/2025,Torneo Apertura,11:00,12:30,Ministros,Branca Jrs,Club Social Y Deportivo Pintita,0,3,0-3,P,TRUE,Gonzalo Beguelman,,,,,,,,,,,,,,,
05/04/2025,Torneo Apertura,11:30,13:00,Ministros,Jardin F.C.,Club Social Y Deportivo Pintita,2,3,2-3,P,TRUE,Gonzalo Beguelman,,,,,,,,,,,,,,,
12/04/2025,Torneo Apertura,10:00,11:30,Ministros,Estrella Roja,Club Social Y Deportivo Pintita,2,0,2-0,G,TRUE,Gonzalo Beguelman,,,,,,,,,,,,,,,
03/05/2025,Torneo Apertura,10:00,11:30,Ministros,Fortaleza,Club Social Y Deportivo Pintita,2,0,2-0,G,TRUE,El Consejo,,,,,,,,,,,,,,,
11/05/2025,Torneo Apertura,11:30,13:00,Ministros,La Escuela,Club Social Y Deportivo Pintita,3,1,3-1,G,TRUE,El Consejo,,,,,,,,,,,,,,,
24/05/2025,Torneo Apertura,11:30,13:00,Ministros,Santander,Club Social Y Deportivo Pintita,2,3,2-3,P,TRUE,El Consejo,,,,,,,,,,,,,,,
31/05/2025,Torneo Apertura,11:30,13:00,Ministros,Nike F.C.,Club Social Y Deportivo Pintita,1,3,1-3,P,TRUE,El Consejo,,,,,,,,,,,,,,,
07/06/2025,Torneo Apertura,11:30,13:00,Ministros,Branca Jrs,Club Social Y Deportivo Pintita,0,3,0-3,P,TRUE,El Consejo,,,,,,,,,,,,,,,
21/06/2025,Torneo Apertura,11:30,13:00,Ministros,Jardin F.C.,Club Social Y Deportivo Pintita,0,2,0-2,P,TRUE,El Consejo,,,,,,,,,,,,,,,
